%time,field.buf0,field.buf1,field.buf2,field.buf3,field.buf4,field.buf5,field.buf6,field.buf7,field.buf8,field.buf9,field.buf10,field.buf11,field.buf12,field.buf13,field.buf14,field.buf15,field.buf16,field.buf17,field.buf18,field.buf19,field.buf20,field.buf21,field.buf22,field.buf23,field.buf24,field.buf25,field.buf26,field.buf27,field.buf28,field.buf29,field.buf30,field.buf31,field.buf32,field.buf33,field.buf34,field.buf35,field.buf36,field.buf37,field.buf38,field.buf39,field.buf40,field.buf41,field.buf42,field.buf43,field.buf44,field.buf45,field.buf46,field.buf47,field.buf48
1562068990573163803,27,219,8,177,34,0,0,0,132,165,46,89,33,0,0,0,54,102,32,89,33,0,0,0,0,0,56,61,0,0,78,189,0,128,125,191,0,232,0,191,0,128,187,60,0,120,102,191,0
1562068990583431288,226,6,161,177,34,0,0,0,42,198,198,89,33,0,0,0,132,182,184,89,33,0,0,0,0,0,42,61,0,0,78,189,0,176,123,191,0,248,39,191,0,0,250,60,0,214,131,191,0
1562068990593267276,174,10,58,178,34,0,0,0,144,138,95,90,33,0,0,0,184,132,81,90,33,0,0,0,0,0,62,61,0,0,87,189,0,48,126,191,0,44,73,191,0,96,234,61,0,154,141,191,0
1562068990603278081,119,126,210,178,34,0,0,0,102,92,248,90,33,0,0,0,254,44,234,90,33,0,0,0,0,0,27,61,0,0,96,189,0,0,126,191,0,16,36,191,0,0,250,59,0,36,116,191,0
1562068990613748700,66,58,107,179,34,0,0,0,20,192,144,91,33,0,0,0,212,174,130,91,33,0,0,0,0,0,34,61,0,0,77,189,0,224,124,191,0,52,30,191,0,128,187,188,0,108,104,191,0
1562068990623179843,11,174,3,180,34,0,0,0,142,112,41,92,33,0,0,0,126,82,27,92,33,0,0,0,0,0,14,61,0,0,111,189,0,192,124,191,0,16,36,191,0,32,75,190,0,106,149,191,0
1562068990633135253,213,105,156,180,34,0,0,0,148,7,195,92,33,0,0,0,40,155,180,92,33,0,0,0,0,0,24,61,0,0,86,189,0,16,125,191,0,0,250,190,0,32,203,189,0,244,123,191,0
1562068990644035802,158,221,52,181,34,0,0,0,24,145,90,93,33,0,0,0,150,138,76,93,33,0,0,0,0,0,35,61,0,0,95,189,0,80,124,191,0,68,69,191,0,0,250,187,0,36,116,191,0
1562068990653003077,104,153,205,181,34,0,0,0,192,4,243,93,33,0,0,0,222,239,228,93,33,0,0,0,0,0,36,61,0,0,101,189,0,160,125,191,0,52,30,191,0,192,218,61,0,232,128,191,0
1562068990663159437,49,13,102,182,34,0,0,0,196,213,139,94,33,0,0,0,20,98,125,94,33,0,0,0,0,0,53,61,0,0,77,189,0,144,124,191,0,68,69,191,0,128,187,188,0,160,140,191,0
1562068990673173962,250,128,254,182,34,0,0,0,238,33,36,95,33,0,0,0,16,14,22,95,33,0,0,0,0,0,86,61,0,0,47,189,0,112,123,191,0,204,88,191,0,144,98,62,0,190,135,191,0
1562068990683136347,195,244,150,183,34,0,0,0,92,192,188,95,33,0,0,0,198,140,174,95,33,0,0,0,0,0,71,61,0,0,78,189,0,144,121,191,0,80,67,191,0,0,250,61,0,184,136,191,0
